Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.3585936929060223,0.39106376949576455
1,0.7647992638162561,0.8211031070370198
2,1.1182938962386517,1.1624845994798423
3,1.5992368382999724,1.5837911730388692
4,2.067672652142896,1.8815292175546439
5,2.3289954655518224,2.2850474731646964
6,2.688280608238105,2.5968230623491886
7,2.902350456034648,2.871190897514748
8,3.1573312601513512,3.1056987670047933
9,3.4114081546550894,3.3675334657053697
10,3.6970008594264727,3.5910972828923575
11,4.036560649637822,3.8526392042468833
12,4.283615756960507,4.126554431771259
13,4.584956199573243,4.446463971610156
14,4.8660515346860755,4.636416255190503
15,5.044953127741257,4.846599606078457
16,5.391268033898822,5.03929466676904
17,5.657129281923819,5.206679889814223
18,5.813846374148803,5.499766598064591
19,6.052111637029669,5.671313737167704
20,6.283890115075364,5.914287607870611
21,6.440015710962937,6.084290346407676
22,6.637223167912519,6.4696821398221
23,6.860381858113482,6.623842101875378
24,7.081442016382882,6.825436792076411
25,7.255930072007773,6.965353484521837
26,7.508428814881823,7.166064840623275
27,7.735318613740242,7.411837444529924
28,7.833273966701848,7.562696699854851
29,8.072011116153664,7.764231616977334
30,8.239432142740103,8.002124594740629
31,8.422286893744396,8.173102306075052
32,8.596119766463733,8.305848079121727
33,8.728988783544342,8.578861508002927
34,9.055659023614151,8.68563878460731
35,9.237523764276972,8.837882004584966
36,9.399449507887658,9.057788820637537
37,9.497920966239128,9.374170190329544
38,9.753387851946977,9.467222618725977
39,9.968886436573822,9.602779239616442
40,10.223632669028873,9.729793268101984
41,10.319990774508723,9.896764410593166
42,10.437610973665858,10.073856140899826
43,10.65277266409459,10.219941012112574
44,10.773876236417413,10.326406917796032
45,10.899184561543985,10.578437589755683
46,11.039335203215819,10.717638416637696
47,11.069998538361794,10.947912441267109
48,11.184537669127247,11.070056583900026
49,11.391352346284433,11.219592219494979
50,11.438500222458169,11.299982320373854
51,11.53979979745981,11.451022770843489
52,11.604799891140086,11.734605012883465
53,11.658170020732609,11.842145388882518
54,11.751568650235644,12.01353679255928
55,11.970815091096853,12.098684772624763
56,12.119119136195597,12.153846220406514
57,12.287148388982228,12.392614696373656
58,12.39798511789784,12.635324147180512
59,12.516537928142093,12.80371226464857
60,12.547201263288068,12.988837549224517
