Time(Iteration),EpsilonGreedyLinearBandit,LinUCB
0,0.48255231988283753,0.4171078014261038
1,0.7852941451174419,0.7348926418835898
2,1.0421480918972024,0.9807769345844027
3,1.3405550849499348,1.206518764108926
4,1.6721847337869327,1.4340389314611188
5,1.972047710486137,1.772319177576381
6,2.143209542530202,2.0864111765101088
7,2.486146221634176,2.3600479966133334
8,2.682160580308948,2.639675860110997
9,2.984470144144485,2.836779395365328
10,3.2585614278021104,3.1338488379058353
11,3.5338580416861434,3.3858833490539384
12,3.80729777486044,3.576660273479726
13,4.048305930123536,3.897968550431103
14,4.355588496816171,4.12927662747538
15,4.622830505493268,4.345954972067885
16,4.865341469881992,4.4954641299311175
17,5.150386535277584,4.616349473714707
18,5.420805147349553,4.852327336465674
19,5.641249254580735,5.066539097058619
20,6.008963148619565,5.23932775507425
21,6.156766410784284,5.416653591034743
22,6.366360888888417,5.653977016393599
23,6.5731503150613335,5.876219760370539
24,6.855881423526829,6.137712119166764
25,7.025976171807639,6.288659134665585
26,7.214305992850994,6.589479747010039
27,7.518270239273322,6.814469904935519
28,7.883330047044649,6.991455283688069
29,8.075375408202778,7.258783764494924
30,8.235949209327824,7.529688459424665
31,8.43835597602321,7.634041136332063
32,8.78850572962096,7.8846162813854095
33,9.106322768629989,8.154455198491808
34,9.331211747548586,8.423726151699547
35,9.600015015121947,8.656712772278812
36,9.863051271279295,8.86304718913149
37,10.135272069769936,9.079236196110262
38,10.331450251027167,9.351194982846954
39,10.647977628562382,9.591438481368943
40,10.851482578358882,9.787528676192998
41,11.102845225566758,10.050624956574746
42,11.385256078960117,10.238945204263421
43,11.570547132878676,10.346537288214611
44,11.848436094334541,10.556371956652496
45,11.990039400057594,10.65051715307807
46,12.252038613092472,10.767267901598307
47,12.493154184094598,10.868867130471155
48,12.710578210079003,10.981006804087214
49,12.930209590108262,11.149803510242954
50,13.058670841269535,11.29929428766403
51,13.16441152673427,11.47719938720568
52,13.373758037528884,11.644607321604893
53,13.609069585248227,11.709391865230284
54,13.774907211301008,11.93786467011806
55,13.946459392357136,12.099150336361287
56,14.297518138938639,12.160508949135663
57,14.49004169686198,12.250894211275938
58,14.650567462682975,12.323763287021551
59,14.885579342571257,12.462170406689165
60,15.078479455989285,12.594337729409137
61,15.165720883567591,12.732326042696178
62,15.321997444965655,12.916608878862604
63,15.492834060149107,13.074946473061843
64,15.653414281670052,13.192800264986499
65,15.79568788099461,13.303972536395836
66,15.939651022529223,13.537833252093595
67,16.067298423869847,13.632402082601047
68,16.233661420958374,13.739598653682284
69,16.431843649916857,13.821681018450539
70,16.666089956577327,13.95228827108651
71,16.87157759545186,14.103492035569891
72,17.02496261635696,14.210234498008457
73,17.199951604626644,14.33444917793194
74,17.41760936296666,14.527967836291586
75,17.683169606381085,14.593581014595475
76,17.81183226564422,14.687560770115573
77,17.91656131495056,14.81528490990901
78,18.137699199073772,14.924763684523887
79,18.39490791200792,15.08647019076814
80,18.47032196402794,15.115396398276555
81,18.70885501565548,15.20693327019479
82,18.840761063141972,15.361873844752969
83,19.037734131757585,15.469578321741796
84,19.24460965085924,15.506165799360454
85,19.46081030806625,15.572947206003523
86,19.607068108507086,15.629064884498813
87,19.89925711618892,15.70925008904426
88,20.01813718795202,15.841324498080846
89,20.214688089869544,15.978394482154002
90,20.322875304313555,16.05734533133282
91,20.538044611223008,16.11658383890033
92,20.702004419469038,16.270747145054976
93,20.877299490266942,16.41390111404614
94,21.03938868641179,16.49107742134029
95,21.162917452858867,16.590186096018435
96,21.44675310735121,16.697384419297908
97,21.591704141993105,16.764992308635634
98,21.792190007158414,16.78707197073739
99,21.985831659001498,16.831492902993187
100,22.164251417565108,16.91109968495664
101,22.321709816256337,16.982482159835904
102,22.566978181014193,17.02334473939522
103,22.7481876856111,17.07402902068226
104,22.92453378606016,17.17570913841903
105,23.158656459402245,17.206827873960655
106,23.276321092966835,17.29199627810626
107,23.3911166124541,17.39153899312615
108,23.522425636352505,17.449737183334673
109,23.727046540703306,17.531481621576795
110,23.884769952284852,17.561785097452745
111,24.09596696264283,17.662416407326443
112,24.313742770949144,17.71762430306673
113,24.463648542539154,17.79827925863045
114,24.588851626668138,17.910431400958288
115,24.702052041849562,17.973690763834753
116,24.840893853617537,18.060689331285904
117,25.10495573487548,18.113937006009174
118,25.21344706520844,18.18302337101849
119,25.38458148574629,18.234349544376755
120,25.538585158608146,18.260531017872122
121,25.699093142129716,18.323057811295755
122,25.78814444858333,18.383769460153655
123,26.002365817713912,18.449885175886294
124,26.107944891650323,18.503921542434405
125,26.371000997913455,18.563448610543656
126,26.519112769938612,18.627948102617406
127,26.621276290690922,18.679936086049004
128,26.814764577581833,18.748381649265692
129,26.975326298454434,18.822178784069216
130,27.06659692605428,18.864202311181646
131,27.141313177550465,18.925526658015958
132,27.310266300176316,18.964450356231985
133,27.357505886779155,19.088623960948787
134,27.562032832417486,19.128476408771242
135,27.648836774086057,19.205714259661537
136,27.7533004546994,19.25331972910879
137,27.830928910127177,19.323446425642313
138,27.916791956389737,19.362927099351147
139,28.102840945186237,19.422529552331113
140,28.24344909961867,19.476174339612616
141,28.394104139570253,19.481242756500357
142,28.466167423505006,19.521340215049314
143,28.589050236475863,19.58192190207661
144,28.71759823472223,19.610248792145903
145,28.85155303566834,19.628607119599703
146,28.971982629306275,19.672128257779693
147,29.088615505029498,19.69905887583336
148,29.247810873216146,19.736897377574078
149,29.36766860106879,19.76411063074768
150,29.45266576394649,19.829230863453528
151,29.61190047094924,19.895250617444812
152,29.774129432089104,19.941808906208756
153,29.914738418137993,20.03316539883786
154,30.09804472780403,20.181389083026325
155,30.300324291818278,20.250563699760797
156,30.483518098731775,20.290378150446227
157,30.72159761481413,20.359801883430123
158,30.857006768585205,20.388470908392584
159,31.000177385391975,20.45853268542996
160,31.151155376101844,20.494955298997084
161,31.2945304721538,20.507284415600687
162,31.333719202905336,20.575452353992624
163,31.359878807557955,20.674243534833487
164,31.40614514077479,20.722899204532332
165,31.472694023569318,20.78879340425949
166,31.558243210064326,20.833786394980326
167,31.743465632164522,20.879884806764174
168,31.780988727102432,20.9227037933341
169,31.850840446490565,20.98099404237104
170,31.950465223273437,21.02093673397291
171,32.05351575508891,21.126306577482474
172,32.21941157747548,21.228230521939672
173,32.31209787437329,21.314628571074774
174,32.40588934650101,21.314628571074774
175,32.601171561282825,21.384241174086576
176,32.69452987712631,21.463985239118692
177,32.81395262372626,21.589749402268225
178,32.907884299064236,21.641515204531604
179,33.11246072923343,21.690257238916484
180,33.3224203914376,21.735537265015843
181,33.47542598171932,21.77142741537614
182,33.651474088920466,21.77142741537614
183,33.69976831538271,21.848545470974422
184,33.868134619080074,21.945825356861167
185,34.0741079319231,21.956768469439208
186,34.184120381704226,22.030064229883163
187,34.200920580135985,22.094407359523196
188,34.31959372432503,22.140095699953584
189,34.4523533915289,22.17943570381701
190,34.67797534136151,22.218322593638142
191,34.864106620978525,22.267103452379242
192,34.958158261556086,22.355065282921508
193,35.02388974004585,22.382758537135164
194,35.10419573747639,22.43097852837457
195,35.25695996077505,22.480634519715046
196,35.49530034353989,22.552633742079202
197,35.57051199665809,22.585725637479698
198,35.86564572976418,22.625296449778258
199,35.96476848286926,22.671249228466152
200,36.066230696663936,22.79026444053833
201,36.23136581682415,22.844621922536184
202,36.25844871697078,22.919561867870073
203,36.36983146144668,22.945683645321036
204,36.48241071968096,23.008272137864477
205,36.522373077236885,23.068616905154663
206,36.64649353735776,23.110912495910622
207,36.80015819842796,23.16016251268217
208,36.944135001411496,23.18853039243276
209,37.155212682984164,23.20277912894063
210,37.31377151749119,23.230631613366505
211,37.45836693803297,23.245049201330577
212,37.61206905116001,23.25605393368742
213,37.709691645223245,23.359892017251678
214,37.780574490060964,23.39995479527881
215,37.98212089195177,23.430101055832292
216,38.18405412982015,23.433949967773692
217,38.27078465426395,23.5305715782174
218,38.34158079185765,23.579193330765882
219,38.4860910216636,23.65627116125129
220,38.60926339400684,23.671686583756397
221,38.69639394862255,23.70807224566288
222,38.78005910304174,23.79456592322682
223,38.87925045432799,23.84768908235046
224,38.98881704718966,23.888729057368423
225,39.07163839812656,23.92855848581765
226,39.174621647880166,23.96166658264545
227,39.2428829052067,24.024833727357418
228,39.36109266435001,24.07536250984211
229,39.490569548760966,24.107109206161446
230,39.63643055753257,24.13437120485215
231,39.71791526624604,24.139067117445315
232,39.84166517194579,24.167349263190786
233,39.912005759936235,24.200740957087813
234,40.09392846500983,24.210566732568097
235,40.201011794014846,24.30883992140373
236,40.33826098747822,24.3604029491834
237,40.416099073463556,24.37537489730256
238,40.52354569325882,24.423149773516137
239,40.63207196477774,24.482030603922723
240,40.787714511646435,24.521391194823472
241,40.92752784320443,24.543464612038218
242,41.05910222079728,24.601208866146358
243,41.255317161296155,24.64244107262763
244,41.30879147825574,24.684797983192848
245,41.491637964775734,24.70903951840756
246,41.628616361339475,24.733480073866144
247,41.72674584636885,24.797820794772434
248,41.888377783652935,24.82633368869154
249,42.10172717709133,24.875971580617822
